name,brand,family,notes_top,notes_heart,notes_base
Terre d’Hermès Vetiver,Hermès,Woody,grapefruit|citrus,vetiver,oakmoss|patchouli|woody
Nishane Vetiver,Nishane,Woody,citrus,vetiver|spice,woody
Théorème Rue Broca,Rue Broca,Amber Woody,citrus,spice,amber|woody
Armaf Club de Nuit Untold,Armaf,Amber Floral,saffron|jasmine,amberwood|cedar,moss
1200 Micrograms,Scentedelic,Citrus Amber,grapefruit|citrus,amber,woody|musky
Rare Reef,Afnan,Citrus Aromatic,orange|citrus,aromatic,woody
Khamrah Kahwah,Lattafa,Amber Spicy,coffee|spice,amber,sweet
Silver Shade,Ajmal,Citrus Musky,citrus|fruity,musk,woody
Studio West Bora Bora,Studio West,Aromatic Citrus,citrus|green,aromatic,
Studio West Man,Studio West,Chypre,bergamot,,oakmoss
Cool Water,Davidoff,Aromatic Aquatic,aquatic|lavender,musk,woody
Afnan 9pm,Afnan,Amber Vanilla,sweet|vanilla,amber,warm spicy
Komorebi (Mridul),Mridul,Green Citrus,fig|bergamot,african orange|neroli,mimosa|amber|cedar
Time & Space 2.0,Scentedelic,Citrus Aromatic,citrus,aromatic,woody|ambroxan
Gulab (Raahi),Raahi,Floral,rose,floral|resin,cedarwood|musk
Vétiveria (Raahi),Raahi,Woody,bergamot|lemon,incense|woody,vetiver|earthy
Dahn al Oud (Raahi),Raahi,Amber Woody,saffron|warm spices,oud|balsamic,woods|amber|musk
Champa Muse (Raahi),Raahi,Floral,magnolia|citrus,champa|muguet,soft woods|musk
Kaaf (Ahmed Al Maghribi),Ahmed Al Maghribi,Aromatic Aquatic,red fruits|watermelon|lavender|sicilian orange,lotus|jasmine|lily of the valley|sea accord,sandalwood|ambroxan|white musk
Versace Eros,Versace,Aromatic Fougere,mint|green apple|lemon,tonka bean|ambroxan|geranium,vanilla|cedar|vetiver
YSL Y,Yves Saint Laurent,Aromatic Fougere,bergamot|aldehydes|ginger,sage|juniper berries|geranium,cedar|amberwood|musk
Paco Rabanne 1 Million Elixir,Paco Rabanne,Amber,apple|daviana,osmanthus|damask rose|cedar,vanilla|tonka bean|patchouli
Rasasi Hawas,Rasasi,Aromatic Aquatic,bergamot|apple|cinnamon,aquatic|plum|orange blossom,ambergris|musk|woodsy
Afnan Snoi,Afnan,Amber Spicy,spice|saffron,amber|floral,woody|musk
